title,subtitle,categories,authors,isbn13,thumbnail,description,num_pages
The Sword of Truth,Wizard's First Rule / Stone of Tears / Blood of the Fold,fiction,Terry Goodkind,9780812575606,http://books.google.com/books/content?id=helnNwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"As an unearthly adversary descends on an idyllic fantasy world, corrupting magic against good and slaughtering innocents, Richard Rahl stands against the forces that threaten to destroy the world.",2480.0
The Simpsons and Philosophy,The D'oh! of Homer,"performing, arts",William Irwin;Mark T. Conard;Aeon J. Skoble,9780812694338,http://books.google.com/books/content?id=sDshYghbZJwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"The author plumbs the depths of America's favorite animated family for insights into philosophy and society, discussing Aristotle, Marx, Camus, Sartre, and many others.",256.0
Woody Allen and Philosophy,You Mean My Whole Fallacy is Wrong?,"performing, arts",Mark T. Conard;Aeon J. Skoble,9780812694536,http://books.google.com/books/content?id=BKIW7EeJg6AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"In fifteen witty essays, fifteen philosophers answer the questions of what writer, director, actor, comedian, musician, and deep thinker Woody Allen is trying to say and why anyone should care. Original.",250.0
Harry Potter and Philosophy,If Aristotle Ran Hogwarts,fiction,David Baggett;Shawn Klein;William Irwin,9780812694550,http://books.google.com/books/content?id=Gz8t2MttEQUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Urging readers of the Harry Potter series to dig deeper than wizards, boggarts, and dementors, the authors of this unique guide collect the musings of seventeen philosophers on the series, who cover a wide range of Potter-related philosophical issues, including the difference between good and evil, the ethics of sorcery, and Aristotle's own school for wizards. Original.",243.0
Buffy the Vampire Slayer and Philosophy,Fear and Trembling in Sunnydale,"performing, arts",James B. South,9780812695311,http://books.google.com/books/content?id=dx_n2IDCJqUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Uses philosophical concepts in metaphysics, epistemology, ethics, and political philosophy to analyze the television series ""Buffy the Vampire Slayer.""",335.0
The Lord of the Rings and Philosophy,One Book to Rule Them All,"literary, criticism",Gregory Bassham;Eric Bronson,9780812695458,http://books.google.com/books/content?id=4g4BAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Culls dozens of life lessons from the pages of J.R.R. Tolkien's epic tale, examining the author's treatment of such issues as happiness, morality, and the search for ultimate truth.",240.0
Superheroes and Philosophy,"Truth, Justice, and the Socratic Way","comics, graphic, novels",Thomas V. Morris;Matt Morris;William Irwin,9780812695731,http://books.google.com/books/content?id=EaWMBwS83l8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,A collection of essays by various authors that explore how superheroes deal with a variety of philosophical issues.,300.0
Star Wars and Philosophy,More Powerful Than You Can Possibly Imagine,"performing, arts",Kevin S. Decker;William Irwin;Jason T. Eberl,9780812695830,http://books.google.com/books/content?id=YL4Fm_5wbHUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A collection of essays that address the philosophical questions associated with the ""Star Wars"" films.",227.0
The Undead and Philosophy,Chicken Soup for the Soulless,philosophy,Richard Greene;K. Silem Mohammad,9780812696011,http://books.google.com/books/content?id=qICHQAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""A collection of philosophical essays about the undead: beings such as vampires and zombies who are physically or mentally dead yet not at rest. Topics addressed include the metaphysics and ethics of undeath""--Provided by publisher.",288.0
The Beatles and Philosophy,Nothing You Can Think that Can't be Thunk,philosophy,Michael Baur;Steven Baur,9780812696066,http://books.google.com/books/content?id=3YAIAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""A collection of essays explores philosophical aspects of the Beatles' music, lyrics, and political acitivities. Topics addressed include: skepticism and epistemology, the philosophy of love, altered consciousness and drug culture, and Marxism and socialphilosophy""--Provided by publisher.",288.0
