title,subtitle,categories,authors,isbn13,thumbnail,description,num_pages
An Unfortunate Woman,A Journey,fiction,Richard Brautigan,9780312277109,http://books.google.com/books/content?id=Fx4k5hJwYrEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Completed prior to the author's 1984 suicide, a last unpublished novel explores what he terms the fragile and mysterious shadowland surrounding death and considers the protagonist's ruminations on another person's suicide. By the author of Trout Fishing in America. Reprint. 35,000 first printing.",132.0
The Glass Bead Game,(Magister Ludi) A Novel,fiction,Hermann Hesse,9780312278496,http://books.google.com/books/content?id=lTVr7hZVY-kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The final novel of Hermann Hesse, for which he won the Nobel Prize for Literature in 1946, The Glass Bead Game is a fascinating tale of the complexity of modern life as well as a classic of modern literature Set in the 23rd century, The Glass Bead Game is the story of Joseph Knecht, who has been raised in Castalia, the remote place his society has provided for the intellectual elite to grow and flourish. Since childhood, Knecht has been consumed with mastering the Glass Bead Game, which requires a synthesis of aesthetics and scientific arts, such as mathematics, music, logic, and philosophy, which he achieves in adulthood, becoming a Magister Ludi (Master of the Game).",558.0
Emotionally Weird,A Novel,fiction,Kate Atkinson,9780312279998,http://books.google.com/books/content?id=3HSNPLvO1JQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Seeking refuge in the ancient, mouldering home of their ancestors on an island off the coast of Scotland, Effie and her mother, Nora, reveal the secrets of their lives and loves, past and present, to each other, in a hilarious novel about mothers, daughters, and love. Reprint. 25,000 first printing.",368.0
A Writer's Workbook,Daily Exercises for the Writing Life,"language, arts, disciplines",Caroline Sharp;Elizabeth Gilbert,9780312286217,http://books.google.com/books/content?id=iiTfCwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Provides a series of warm-ups and practical exercises for aspiring writers that address such issues as fear of failure, dyslexia, writer's block, rewriting, and related matters. Reprint. 15,000 first printing.",176.0
Waiting for My Cats to Die,A Memoir,"biography, autobiography",Stacy Horn,9780312287443,http://books.google.com/books/content?id=55JlPp-P7DUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A hilarious romp through the joys and terrors of middle age follows the adventures of Stacy Horn--a forty-year-old woman and TV addict who has dedicated herself to caring for her two diabetic cats and to dealing with the sudden realization of a mid-life crisis. Reprint.,320.0
Serious Girls,A Novel,fiction,Maxine Swann,9780312288013,http://books.google.com/books/content?id=mF4yPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Sixteen year olds Maya and Roe form an intense friendship when they find themselves cast as outsiders at an all girls boarding school. Sharing their life stories, and curiosity about the adult world, they wonder how they might become ""people"" with style and character as opposed to school girls. When they move beyond the enclosed world of the school to experience the city, and relationships with men, both girls test the line between an emerging sense of self and its total disintegration.",240.0
Education As My Agenda,"Gertrude Williams, Race, and the Baltimore Public Schools","biography, autobiography",Gertrude S. Williams;Jo Ann Robinson,9780312295431,http://books.google.com/books/content?id=btui1B1IfEMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When Gertrude Williams retired in 1998, after forty-nine years in the Baltimore public schools, The Baltimore Sun called her ""the most powerful of principals"" who ""tangled with two superintendents and beat them both."" In this oral memoir, Williams identifies the essential elements of sound education and describes the battles she waged to secure those elements, first as teacher, then a counselor, and, for twenty-five years, as principal. She also described her own education - growing up black in largely white Germantown, Pennsylvania; studying black history and culture for the first time at Cheyney State Teachers College; and meeting the rigorous demands of the program which she graduated from in 1949. In retracing her career, Williams examines the highs and lows of urban public education since World War II. She is at once an outspoken critic and spirited advocate of the system to which she devoted her life.",336.0
Banvard's Folly,Thirteen Tales of People Who Didn't Change the World,history,Paul Collins,9780312300333,http://books.google.com/books/content?id=MSv6w5Ba2Y4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The historical record crowns success. Those enshrined in its annals are men and women whose ideas, accomplishments, or personalities have dominated, endured, and most important of all, found champions. John F. Kennedy's Profiles in Courage, Giorgio Vasari's Lives of the Artists, and Samuel Johnson's Lives of the Poets are classic celebrations of the greatest, the brightest, the eternally constellated. Paul Collins' Banvard's Folly is a different kind of book. Here are thirteen unforgettable portraits of forgotten people: men and women who might have claimed their share of renown but who, whether from ill timing, skullduggery, monomania, the tinge of madness, or plain bad luck-or perhaps some combination of them all-leapt straight from life into thankless obscurity. Among their number are scientists, artists, writers, entrepreneurs, and adventurers, from across the centuries and around the world. They hold in common the silenced aftermath of failure, the name that rings no bells. Collins brings them back to glorious life. John Banvard was an artist whose colossal panoramic canvasses (one behemoth depiction of the entire eastern shore of the Mississippi River was simply known as ""The Three Mile Painting"") made him the richest and most famous artist of his day. . . before he decided to go head to head with P. T. Barnum. René Blondot was a distinguished French physicist whose celebrated discovery of a new form of radiation, called the N-Ray, went terribly awry. At the tender age of seventeen, William Henry Ireland signed ""William Shakespeare"" to a book and launched a short but meteoric career as a forger of undiscovered works by the Bard -- until he pushed his luck too far. John Symmes, a hero of the War of 1812, nearly succeeded in convincing Congress to fund an expedition to the North Pole, where he intended to prove his theory that the earth was hollow and ripe for exploitation; his quixotic quest counted Jules Verne and Edgar Allan Poe among its greatest admirers. Collins' love for what he calls the ""forgotten ephemera of genius"" give his portraits of these figures and the other nine men and women in Banvard's Folly sympathetic depth and poignant relevance. Their effect is not to make us sneer or revel in schadenfreude; here are no cautionary tales. Rather, here are brief introductions-acts of excavation and reclamation-to people whom history may have forgotten, but whom now we cannot.",320.0
The Last Jew,A Novel of The Spanish Inquisition,fiction,Noah Gordon,9780312300531,http://books.google.com/books/content?id=rUydl6GzWSUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In the year 1492, the Inquisition has all of Spain in its grip. After centuries of pogrom-like riots encouraged by the Church, the Jews - who have been an important part of Spanish life since the days of the Romans - are expelled from the country by royal edict. Many who wish to remain are intimidated by Church and Crown and become Catholics, but several hundred thousand choose to retain their religion and depart; given little time to flee, some perish even before they can escape from Spain. Yonah Toledano, the 15-year-old son of a celebrated Spanish silversmith, has seen his father and brother die during these terrible days - victims whose murders go almost unnoticed in a time of mass upheaval. Trapped in Spain by circumstances, he is determined to honor the memory of his family by remaining a Jew. On a donkey named Moise, Yonah begins a meandering journey, a young fugitive zigzagging across the vastness of Spain. Toiling at manual labor, he desperately tries to cling to his memories of a vanished culture. As a lonely shepherd on a mountaintop he hurls snatches of almost forgotten Hebrew at the stars, as an apprentice armorer he learns to fight like a Christian knight. Finally, as a man living in a time and land where danger from the Inquisition is everywhere, he deals with the questions that mark his past. How he discovers the answers, how he finds his way to a singular and strong Marrano woman, how he achieves a life with the outer persona of a respected Old Christian physician and the inner life of a secret Jew, is the fabric of this novel. The Last Jew is a glimpse of the past, an authentic tale of high adventure, and a tender and unforgettable love story. In it, Noah Gordon utilizes his greatest strengths, and the result is remarkable and moving.",352.0
How to Write a Damn Good Mystery,A Practical Step-by-Step Guide from Inspiration to Finished Manuscript,"language, arts, disciplines",James N. Frey,9780312304461,http://books.google.com/books/content?id=X47rmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Edgar award nominee James N. Frey, author of the internationally best-selling books on the craft of writing, How to Write a Damn Good Novel, How to Write a Damn Good Novel II: Advanced Techniques, and The Key: How to Write Damn Good Fiction Using the Power of Myth, has now written what is certain to become the standard ""how to"" book for mystery writing, How to Write a Damn Good Mystery. Frey urges writers to aim high-not to try to write a good-enough-to-get-published mystery, but a damn good mystery. A damn good mystery is first a dramatic novel, Frey insists-a dramatic novel with living, breathing characters-and he shows his readers how to create a living, breathing, believable character who will be clever and resourceful, willful and resolute, and will be what Frey calls ""the author of the plot behind the plot."" Frey then shows, in his well-known, entertaining, and accessible (and often humorous) style , how the characters-the entire ensemble, including the murderer, the detective, the authorities, the victims, the suspects, the witnesses and the bystanders-create a complete and coherent world. Exploring both the on-stage action and the behind-the-scenes intrigue, Frey shows prospective writers how to build a fleshed-out, believable, and logical world. He shows them exactly which parts of that world show up in the pages of a damn good mystery-and which parts are held back just long enough to keep the reader guessing. This is an indispensable step-by-step guide for anyone who's ever dreamed of writing a damn good mystery.",288.0
Jenny and the Jaws of Life,Short Stories,fiction,Jincy Willett,9780312306182,http://books.google.com/books/content?id=7a-814lNn40C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A collection of stories about children, rapists, businessmen, and adulterers who move in and out of particular loves and specific desires.",272.0
McCarthy's Bar,A Journey of Discovery In Ireland,travel,Pete McCarthy,9780312311339,http://books.google.com/books/content?id=2DF-J8CZSxwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An American chronicles his funny, nostalgic encounter with Ireland as he searches for his roots in the countryside and pubs of this beautiful and deceptively simple country. Reprint. 20,000 first printing.",338.0
The Pythons,Autobiography,"biography, autobiography",Graham Chapman;John Cleese;Terry Gilliam;Michael Palin;Eric Idle;Terry Jones,9780312311452,http://books.google.com/books/content?id=3Q-XD02f4oQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Personal anecdotes, humorous reminiscences, and more than one thousand photographs and illustrations celebrate the popular comedy troupe that began in 1969.",368.0
The Little Princesses,"The Story of the Queen's Childhood by Her Nanny, Marion Crawford","biography, autobiography",Marion Crawford,9780312312152,http://books.google.com/books/content?id=kv65ZiLjTT0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An account of the childhoods and early adulthoods of Queen Elizabeth and Princess Margaret, as told by one of their primary caregivers, offers insight into early twentieth-century British royal life.",230.0
The New York Times Guide to Essential Knowledge,A Desk Reference for the Curious Mind,reference,The New York Times,9780312313678,http://books.google.com/books/content?id=zqkdNwRxSooC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Presents information on such subjects as art, architecture, biology, business, history, medicine, sports, philosophy, and film, with essays by experts on numerous topics, a biographical dictionary, and a writer's guide to grammar.",1104.0
Little Children,A Novel,fiction,Tom Perrotta,9780312315733,http://books.google.com/books/content?id=j73yQbUYaBUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A group of young suburban parents, including a stay-at-home dad, a former feminist, and an obssessive-compulsive mom, finds its sleepy existence shattered when a convicted child molester moves back into town and two of the parents have an affair.",355.0
The Gatekeeper,A Memoir,"biography, autobiography",Terry Eagleton,9780312316136,http://books.google.com/books/content?id=93Q0Q1bjH3AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An Oxford scholar and author of The Truth About the Irish candidly recounts his experiences as an impoverished youth, a convent gatekeeper, a Catholic in Protestant England, a working-class Irish immigrant among the Oxbridge elite, and a Marxist visiting professor in Mormon Utah. Reprint. 15,000 first printing.",192.0
Dominion,"The Power of Man, the Suffering of Animals, and the Call to Mercy",nature,Matthew Scully,9780312319731,http://books.google.com/books/content?id=_htG-Pi2GboC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Argues for responsible action in the treatment of animals, challenging popular conceptions about animal feeling and awareness and profiling a safari convention, factory farm, and the works of top writers.",448.0
Spider Mountain,A Novel,fiction,P. T. Deutermann,9780312333799,http://books.google.com/books/content?id=1Wflpi1atxYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Infiltrating a dangerous Appalachian mountain gang, former police officer Cam Richter and special agent Carrie Santangelo expose the gang's methamphetamine trade only to learn about their secret activities involving abandoned and abused children.",309.0
Where the Mountain Casts Its Shadow,The Dark Side of Extreme Adventure,"biography, autobiography",Maria Coffey,9780312339012,http://books.google.com/books/content?id=ZOomkQfnWsAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Shares the personal behind-the-scenes stories of famous mountaineers to reveal the events that compelled them to risk their lives and personal relationships, in a collection of portraits that includes coverage of such adventurers as Jim Wickwire, Conrad Anker, and Lynn Hill. Reprint. 15,000 first printing.",256.0
Sideways,A Novel,fiction,Rex Pickett,9780312342517,http://books.google.com/books/content?id=zNugmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Sideways is the story of two friends-Miles and Jack-going away together for the last time to steep themselves in everything that makes it good to be young and single: pinot, putting, and prowling bars. In the week before Jack plans to marry, the pair heads out from Los Angeles to the Santa Ynez wine country. For Jack, the tasting tour is Seven Days to D-Day, his final stretch of freedom. For Miles--who has divorced his wife, is facing an uncertain career and has lost his passion for living-the trip is a weeklong opportunity to evaluate his past, his future and himself. A raucous and surprising novel filled with wonderful details about wine, Sideways is also a thought-provoking and funny book about men, women, and human relationships.",368.0
The Last Wife of Henry VIII,A Novel,fiction,Carolly Erickson,9780312352189,http://books.google.com/books/content?id=PajwTfsnflMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Presents a fictional portrait of the sixth wife of Henry VIII, Catherine Parr, following this alluring and resourceful woman from the intrigues and perils of Henry's court to her rivalry with Princess Elizabeth for the affections of Thomas Seymour.",326.0
The Red Tent,A Novel,fiction,Anita Diamant,9780312353766,http://books.google.com/books/content?id=Saqfl3hXqfEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Based on the Book of Genesis, Dinah shares her perspective on religous practices and sexul politics.",336.0
Dirty Little Secrets,A Novel,fiction,Joy King,9780312354077,http://books.google.com/books/content?id=bJqBvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A young, hip, sexy novel that takes readers behind the velvet rope of the glamorous and shady entertainment industry Nothing prepares Tyler Blake for the fast-paced living of New York City. A small-town girl from Georgia, she quickly gets caught up in the glamorous entertainment industry. While pursuing her dream of becoming an actress, Tyler continually gets sidetracked by men who promise to help her and finds herself going from one dysfunctional relationship to another. Just when Tyler finally believes she has found her ideal man, in hip-hop producer Brian McCall, everything begins to go horribly wrong. Trapped in a nightmarish relationship, Tyler is determined not to go down without a fight. ""Passion, deception, heartbreak, love and a delicious read...what more do you need!"" -- B. Lawson Thornton, Essence bestselling author of Misery Loves Company",256.0
The Silver Pigs,A Marcus Didius Falco Mystery,fiction,Lindsey Davis,9780312357771,http://books.google.com/books/content?id=a0wmuQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When Marcus Didius Falco, a Roman ""informer"" who has a nose for trouble that's sharper than most, encounters Sosia Camillina in the Forum, he senses immediately all is not right with the pretty girl. She confesses to him that she is fleeing for her life, and Falco makes the rash decision to rescue her--a decision he will come to regret. For Sosia bears a heavy burden: as heavy as a pile of stolen Imperial ingots, in fact. Matters just get more complicated when Falco meets Helena Justina, a Senator's daughter who is connected to the very same traitors he has sworn to expose. Soon Falco finds himself swept from the perilous back alleys of Ancient Rome to the silver mines of distant Britain--and up against a cabal of traitors with blood on their hands and no compunction whatsoever to do away with a snooping plebe like Falco....",329.0
The Mystery Method,How to Get Beautiful Women Into Bed,"family, relationships",Mystery;Chris Odom,9780312360115,http://books.google.com/books/content?id=xL-TmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"“One of the most admired men in the world of seduction” (The New York Times) teaches average guys how to approach, attract and begin intimate relationships with beautiful women For every man who always wondered why some guys have all the luck, Mystery, considered by many to be the world’s greatest pickup artist, finally reveals his secrets for finding and forming relationships with some of the world’s most beautiful women. Mystery gained mainstream attention for his role in Neil Strauss’s New York Times bestselling exposé, The Game. Now he has written the definitive handbook on the art of the pickup. He developed his unique method over years of observing social dynamics and interacting with women in clubs to learn how to overcome the guard shield that many women use to deflect come-ons from ""average frustrated chumps."" The Mystery Method: How to Get Beautiful Women Into Bed shares tips such as: *Give more attention to her less attractive friend at first, so your target will get jealous and try to win your attention. *Always approach a target within 3 seconds of noticing her. If a woman senses your hesitation, her perception of your value will be lower. *Don't be picky. Approach as many groups of people in a bar as you can and entertain them with fun conversation. As you move about the room, positive perception of you will grow. Now it's easy to meet anyone you want. *Smile. Guys who don't get laid, don't smile.",240.0
Marked,A House of Night Novel,"juvenile, fiction",P. C. Cast;Kristin Cast,9780312360269,http://books.google.com/books/content?id=hcrXAQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Sixteen-year-old Zoey Redbird is Marked as a fledging vampyre and joins the House of Night where she will train to become an adult vampyre.,306.0
More Plums in One,"Four to Score, High Five, and Hot Six",fiction,Janet Evanovich,9780312362966,http://books.google.com/books/content?id=WeNcjH3eGpIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a compilation of three novels, a bail jumper is pursued with the help of an ex-prostitute and a transvestite, the search for Stephanie's uncle is hampered by her gun-toting grandma, and Ranger disappears after being accused of murder.",792.0
James Herriot's Dog Stories,Warm And Wonderful Stories About The Animals Herriot Loves Best,pets,James Herriot,9780312364526,http://books.google.com/books/content?id=kE2q3RvdDVEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Complete collection of 50 dog stories by James Herriot.,464.0
Beatrix Potter,A Life in Nature,"biography, autobiography",Linda Lear,9780312369347,http://books.google.com/books/content?id=T9uTxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Peter Rabbit, Mr. McGregor, and many other Beatrix Potter characters remain in the hearts of millions. However, though Potter is a household name around the world, few know the woman behind the illustrations. Her personal life, including a romantic relationship with her publisher, Norman Warne, and her significant achievements outside of children's literature remain largely unknown. In Linda Lear's enchanting new biography, we get the life story of this incredible, funny, and independent woman. As one of the first female naturalists in the world, Potter brought the beauty and importance of nature back into the imagination at a time when plunder was more popular than preservation. Through her art she sought to encourage conservation and change the world. With never before seen illustrations and intimate detail, Lear goes beyond our perrenial fascination with Potter as a writer and illustrator of children's books, and delves deeply into the life of a most unusual and gifted woman--one whose art was timeless, and whose generosity left an indelible imprint on the countryside.",584.0
The Twenty-Seventh City,A Novel,fiction,Jonathan Franzen,9780312420147,http://books.google.com/books/content?id=puFxDk3dTUEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"S. Jammu, a young, ambitious Indian woman, is sworn in as police chief of St. Louis where the acts of private citizens are monitored and the actions of Martin Probst and his family threaten to destroy her plan. Reprint.",528.0
"Haussmann, Or the Distinction",A Novel,fiction,Paul LaFarge,9780312420925,http://books.google.com/books/content?id=2CIM-IKhZmEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"France's greatest architect, Baron Georges-EugFne Haussman, stands at the center of this unique novel about the reconstruction of Paris during the nineteenth century. Reprint. 10,000 first printing.",379.0
The Journey to the East,A Novel,fiction,Hermann Hesse,9780312421687,http://books.google.com/books/content?id=-cjM9WChgEcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The hero, a German choirmaster recalls an unfruitful pilgrimage to the East during his youth and begins to realize its hidden spiritual meanings. Reprint.",128.0
This Side of Brightness,A Novel,fiction,Colum McCann,9780312421977,http://books.google.com/books/content?id=50EMEL4s31MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Winter 2003,304.0
What Was She Thinking?,Notes on a Scandal: A Novel,fiction,Zoë Heller,9780312421991,http://books.google.com/books/content?id=TWviK9mhCH8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When her best friend Sheba Hart's love affair with an underage male student comes to light, igniting a media circus, solitary schoolteacher Barbara Covett decides to write an account of the affair in her friend's defense, in the process revealing not only Sheba's secrets, but also her own. By the author of Everything You Know. Reader's Guide available. Reprint. 25,000 first printing.",258.0
Middlesex,A Novel,fiction,Jeffrey Eugenides,9780312422158,http://books.google.com/books/content?id=twDVs4UIU_kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Calliope's friendship with a classmate and her sense of identity are compromised by the adolescent discovery that she is a hermaphrodite, a situation with roots in her grandparents' desperate struggle for survival in the 1920s. By the author of The Virgin Suicides.Reader's Guide available. Reprint. 100,000 first printing.",529.0
The Interpreter,A Novel,fiction,Suki Kim,9780312422240,http://books.google.com/books/content?id=pPNsEPSMb68C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Working as a interpreter for the New York City court system, Korean-American Suzy Park makes a startling discovery that casts doubt on the facts surrounding her greengrocer parents' murders five years earlier. A first novel. Reader's Guide available. Reprint.",304.0
Hand to Mouth,A Chronicle of Early Failure,"biography, autobiography",Paul Auster,9780312422325,http://books.google.com/books/content?id=qQ2qYbMGnbwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"From the streets of Manhattan to Paris, a poignant memoir explains a series of ingenious and farfetched attempts to survive on next to no money, showing both the humor and desperation of being a ""have not."" Reprint. 15,000 first printing.",176.0
A Feather on the Breath of God,A Novel,fiction,Sigrid Nunez,9780312422738,http://books.google.com/books/content?id=Y9KesaEJSDcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Growing up in a New York housing project during the 1950s and 1960s, a young woman, the child of multiethnic immigrant parents, escapes the problems of her life into a world of dreams shaped by her parents' stories, her own reading, and the ballet. Reprint.",192.0
Galatea 2.2,A Novel,fiction,Richard Powers,9780312423131,http://books.google.com/books/content?id=ttcEu4iDvnYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The protagonist, a Humanist-in-Residence at the center for Advanced Scientific Research, gets involved with a project to train a machine to pass a comprehensive exam in English literature--and with the degree candidate against whom the machine is competing. Reprint.",329.0
Mason & Dixon,A Novel,fiction,Thomas Pynchon,9780312423209,http://books.google.com/books/content?id=MgDysANnVqwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The re-imagined story of Charles Mason and Jeremiah Dixon, the British surveyors best known for marking the Mason-Dixon line, features the mismatched pair as they are drawn into naval warfare, erotic and political conspiracies, and major caffeine abuse as they negotiate the perils of eighteenth-century America. Reprint",773.0
The River at the Center of the World,"A Journey Up the Yangtze, and Back in Chinese Time",travel,Simon Winchester,9780312423377,http://books.google.com/books/content?id=qiL4eiCfL64C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The author recounts his experiences traveling along the Yangtze river from the Tibetan border to the East China Sea, vividly bringing to life China's rich cultural history, politics, people, geography, and climate. Reprint.",416.0
Primo Levi,A Life,"biography, autobiography",Ian Thomson,9780312423674,http://books.google.com/books/content?id=mGzmdvFtIXkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A profile of the author of Survival in Auschwitz and The Periodic Table examines his daily experiences as a paint factory manager who tended an invalid mother and lived in the same house his entire life, discussing the impact of such factors as Mussolini's regime, his difficult reintegration into postwar Italy, and his struggles with depression and insomnia. Reprint. 10,000 first printing.",640.0
A Home at the End of the World,A Novel,fiction,Michael Cunningham,9780312424084,http://books.google.com/books/content?id=MwMEpfe72u4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"From the Pulitzer Prize-winning author of ""The Hours"" comes the masterful story of a unique family that is formed when Jonathan moves to New York to live with boyhood friend Bobby and Clare, a veteran of the city's erotic wars. Soon to be a motion picture starring Colin Farrell, Sissy Spacek, and Robin Wright Penn.",342.0
Call It Sleep,A Novel,fiction,Henry Roth,9780312424121,http://books.google.com/books/content?id=HdZwPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When Henry Roth published his debut novel Call It Sleep in 1934, it was greeted with considerable critical acclaim though, in those troubled times, lackluster sales. Only with its paperback publication thirty years later did this novel receive the recognition it deserves—--and still enjoys. Having sold-to-date millions of copies worldwide, Call It Sleep is the magnificent story of David Schearl, the ""dangerously imaginative"" child coming of age in the slums of New York.",462.0
I Am Charlotte Simmons,A Novel,fiction,Tom Wolfe,9780312424442,http://books.google.com/books/content?id=1EPdr5xFKfsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"At Dupont University, an innocent college freshman named Charlotte Simmons learns that her intellect alone will not help her survive.",738.0
Small Island,A Novel,fiction,Andrea Levy,9780312424671,http://books.google.com/books/content?id=tahylzEQ78AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"At the end of World War II the Joseph family arrives in London from Jamaica and Queenie, their white landlady, befriends them, until her racist husband, Bernard, arrives home from the front.",441.0
Collected Prose,"Autobiographical Writings, True Stories, Critical Essays, Prefaces, and Collaborations with Artists","literary, collections",Paul Auster,9780312424688,http://books.google.com/books/content?id=J0HhZE6jxRMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Features the author's selection of essays, true stories, autobiographical writings, prefaces, collaborations with artists, and articles, covering topics ranging from New York City and Kafka to Sir Walter Raleigh and high-wire artist Philippe Petit.",528.0
Saints at the River,A Novel,fiction,Ron Rash,9780312424916,http://books.google.com/books/content?id=YlTVmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When a twelve-year-old girl drowns in the Tamassee River and her body is trapped in a deep eddy, the people of the small South Carolina town that bears the river's name are thrown into the national spotlight. The girl's parents want to attempt a rescue of the body; environmentalists are convinced the rescue operation will cause permanent damage to the river and set a dangerous precedent. Torn between the two sides is Maggie Glenn, a twenty-eight-year-old newspaper photographer who grew up in the town and has been sent to document the incident. Since leaving home almost ten years ago, Maggie has done her best to avoid her father, but now, as the town's conflict opens old wounds, she finds herself revisiting the past she's fought so hard to leave behind.",239.0
Vita,A Novel,fiction,Melania G. Mazzucco,9780312425869,http://books.google.com/books/content?id=CzeRmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A New York Times Book Review Editors' Choice In April 1903, Diamante, age twelve, and Vita, age nine, are sent by their poor families in southern Italy to make a life for themselves in America. Theirs is an unforgettable love story, a riveting tale of immigrant survival and hope that takes them from the crime-ridden tenements of Little Italy to the brutal rail yards of the Midwest, on paths that cross with the Black Hand, Caruso, and Chaplin. It is a story that reaches across decades, to the son of Vita, who would travel as far as Italy to find his roots and the man who could have been his father. In Vita, the author, Melania G. Mazzucco, also tells her own story of how she found Diamante and Vita in old photographs, documents, ship manifests, and the fading memories of her relatives, and from these fragments of the past imagined this gripping epic fiction of her family's history.",433.0
Night Draws Near,Iraq's People in the Shadow of America's War,history,Anthony Shadid,9780312426033,http://books.google.com/books/content?id=foVhywPrz4EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An Arab-American journalist looks at the Iraq War from the perspective of ordinary Iraqi citizens confronted by the dislocations, hardships, tragedies, and harsh realities of the conflict.",507.0
A Woman in Berlin,Eight Weeks in the Conquered City: A Diary,"biography, autobiography",Anonymous,9780312426118,http://books.google.com/books/content?id=HcrzDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A wartime journal by a reporter and editor living through the Russian occupation of Berlin includes her observations of resident survival in the face of starvation, no water, and freezing conditions; the mass rapes endured by the city's women; and the corruption of Berlin citizens by their Russian occupiers. Reprint. 35,000 first printing.",261.0
The Brooklyn Follies,A Novel,fiction,Paul Auster,9780312426231,http://books.google.com/books/content?id=Opf3yeQixwQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Retired life insurance salesman Nathan Glass moves to Brooklyn to find anonymity and solitude through his declining years, but a chance meeting with Tom Wood, his long-lost nephew, forces him to come to terms with his past.",306.0
The Price of the Ticket,"Collected Nonfiction, 1948-1985","literary, criticism",James Baldwin,9780312643065,http://books.google.com/books/content?id=VbkZxwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The works of James Baldwin constitute one of the major contributions to American literature in the twentieth century, and nowhere is this more evident than in The Price of the Ticket, a compendium of nearly fifty years of Baldwin's powerful nonfiction writing. With truth and insight, these personal, prophetic works speak to the heart of the experience of race and identity in the United States. Here are the full texts of Notes of a Native Son, Nobody Knows My Name, The Fire Next Time, No Name in the Street, and The Devil Finds Work, along with dozens of other pieces, ranging from a 1948 review of Raintree Country to a magnificent introduction to this book that, as so many of Mr. Baldwin's works do, combines his intensely private experience with the deepest examination of social interaction between the races. In a way, The Price of the Ticket is an intellectual history of the twentieth-century American experience; in another, it is autobiography of the highest order.",712.0
The Humanoids,A Novel,fiction,Jack Williamson,9780312852535,http://books.google.com/books/content?id=vPSl0AW8Z74C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A classic science fiction novel features humanoids spreading throughout the galaxy, threatening to stifle all human endeavor, and the hidden group of rebels who try to stem the humanoid tide, if it is not already too late",299.0
